
134842;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134843;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134844;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134845;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134846;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134847;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134848;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134849;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134851;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134852;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
134853;AKTUALNE;Członek honorowy;Towarzystwo Internistów Polskich;14068
33685;HISTORYCZNE;Kierownik;"Uniwersytet Mikołaja Kopernika; Wydział Nauk Ekonomicznych i Zarządzania; Katedra Marketingu i Zarządzania Agrobiznesem";9341
28642;HISTORYCZNE;Wiceprezes;Towarzystwo Przetwarzania Obrazów;13969
28642;HISTORYCZNE;;Towarzystwo Przetwarzania Obrazów;13969
28642;HISTORYCZNE;Kierownik;"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Centrum Badawcze";25323
28642;HISTORYCZNE;;"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Centrum Badawcze";25323
28642;HISTORYCZNE;Kierownik;"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Wydział Informatyki; Katedra Systemów Inteligentnych";18507
28642;HISTORYCZNE;;"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Wydział Informatyki; Katedra Systemów Inteligentnych";18507
28642;HISTORYCZNE;Prorektor;Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie;25323
28642;HISTORYCZNE;;Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie;25323
28642;HISTORYCZNE;Członek Zarządu;Polskie Towarzystwo Sieci Neuronowych;28486
28642;HISTORYCZNE;;Polskie Towarzystwo Sieci Neuronowych;28486
28642;HISTORYCZNE;Członek;"Polska Akademia Nauk; Wydziały PAN; Wydział IV - Nauk Technicznych; Komitet Informatyki";13735
28642;HISTORYCZNE;;"Polska Akademia Nauk; Wydziały PAN; Wydział IV - Nauk Technicznych; Komitet Informatyki";13735
28642;HISTORYCZNE;Członek;"Polska Akademia Nauk; Wydziały PAN; Wydział IV - Nauk Technicznych; Komitet Mechaniki";13746
