
225962;AKTUALNE;adiunkt;"Uniwersytet Opolski; Wydział Przyrodniczo-Techniczny; Instytut Inżynierii Środowiska i Biotechnologii";230395
225962;AKTUALNE;;"Uniwersytet Opolski; Wydział Przyrodniczo-Techniczny; Instytut Inżynierii Środowiska i Biotechnologii";230395
225962;HISTORYCZNE;adiunkt;"Uniwersytet Wrocławski; Wydział Nauk Biologicznych; Katedra Ekologii, Biogeochemii i Ochrony Środowiska";214769
225962;HISTORYCZNE;;"Uniwersytet Wrocławski; Wydział Nauk Biologicznych; Katedra Ekologii, Biogeochemii i Ochrony Środowiska";214769
225962;HISTORYCZNE;adiunkt;"Uniwersytet Opolski; Wydział Przyrodniczo-Techniczny; Instytut Biotechnologii";227038
242955;AKTUALNE;profesor zwyczajny;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach; Wydział Humanistyczno-Społeczny; Katedra Zarządzania i Psychologii Stosowanej";221049
242955;AKTUALNE;;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach; Wydział Humanistyczno-Społeczny; Katedra Zarządzania i Psychologii Stosowanej";221049
242955;HISTORYCZNE;profesor zwyczajny;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach; Wydział Humanistyczno-Społeczny; Katedra Zarządzania";221049
15751;HISTORYCZNE;;"Akademia Podlaska; Wydział Humanistyczny; Instytut Pedagogiki";4321
15751;HISTORYCZNE;starszy wykładowca;"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Humanistyczny; Instytut Pedagogiki";209234
15751;HISTORYCZNE;;"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Humanistyczny; Instytut Pedagogiki";209234
33685;HISTORYCZNE;profesor;"Uniwersytet Mikołaja Kopernika; Wydział Nauk Ekonomicznych i Zarządzania; Katedra Marketingu i Zarządzania Agrobiznesem";9341
33685;HISTORYCZNE;;"Uniwersytet Mikołaja Kopernika; Wydział Nauk Ekonomicznych i Zarządzania; Katedra Marketingu i Zarządzania Agrobiznesem";9341
33685;HISTORYCZNE;profesor nadzwyczajny;"Kujawska Szkoła Wyższa we Włocławku; Wydział Nauk Społecznych i Technicznych";221687
